Id,O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
51,5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,Air Traffic Controller
52,9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,Game Developer
53,6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,Urban Planner
54,6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,Financial Advisor
55,4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,Airline Pilot
56,8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Engineer
57,8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,Interior Designer
58,7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Physical Therapist
59,6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,Mechanical Designer
60,7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,Dental Hygienist
61,6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,Marketing Analyst
62,7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,Aerospace Engineer
63,6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Pediatric Nurse
64,7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,Advertising Executive
65,8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Wildlife Conservationist
66,6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,IT Project Manager
67,7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,Forestry Technician
68,8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Video Game Tester
69,7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Marriage Counselor
70,8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Scientist
71,9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,Biomedical Researcher
72,6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,Database Administrator
73,6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Public Relations Specialist
74,7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Genetic Counselor
75,8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,Market Researcher
76,7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Occupational Therapist
77,7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,Electrical Engineer
78,7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,Investment Banker
79,8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Marine Biologist
80,7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,Human Rights Lawyer
81,6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Database Analyst
82,6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,Pediatrician
83,7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,Technical Writer
84,8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,Forensic Psychologist
85,8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,Product Manager
86,8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Fashion Stylist
87,6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Speech Pathologist
88,8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,Public Health Analyst
89,6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,Sports Coach
90,6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Insurance Underwriter
91,6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,Chiropractor
92,5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,Radiologic Technologist
93,7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,Tax Accountant
94,6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,Quality Control Inspector
95,6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Rehabilitation Counselor
96,8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,Film Director
97,7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Diplomat
98,2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Police Officer
99,7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,Administrative Officer
100,6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Tax Collector
101,7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Foreign Service Officer
102,2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Customs and Border Protection Officer
103,6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,Civil Engineer
104,7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,Robotics Engineer
105,7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,Electronics Design Engineer
106,5.45,8.67,3.45,5.34,4.23,9.23,4.56,6.78,7.89,6.12,Accountant
107,8.78,5.67,4.56,6.45,4.23,5.12,8.45,7.89,6.34,6.01,Graphic Designer
108,6.12,6.78,9.34,7.56,5.01,6.23,4.23,6.45,6.67,8.45,Salesperson
109,9.12,8.78,4.23,5.67,4.56,7.89,5.34,6.45,9.34,7.67,Research Scientist
110,6.45,7.56,5.67,9.12,4.23,5.34,4.01,6.23,5.78,8.67,Teacher
111,8.45,7.01,5.34,5.45,4.56,6.45,9.12,7.67,8.89,4.23,Architect
112,4.01,8.23,6.67,9.34,5.12,4.56,4.45,7.45,5.78,7.78,Nurse
113,8.78,7.89,5.67,6.01,4.67,8.45,4.23,5.34,9.23,6.45,Software Developer
114,8.78,7.45,5.34,8.45,6.01,4.56,4.01,4.23,6.67,9.23,Psychologist
115,6.78,6.45,8.45,7.67,4.56,3.45,3.12,9.34,3.67,4.23,Chef
116,6.23,7.34,8.78,7.45,5.67,5.12,4.34,4.67,6.01,7.89,Marketing Manager
117,7.89,9.23,5.01,7.45,6.34,4.78,4.01,4.56,5.67,8.67,Physician
118,9.34,3.56,7.23,6.78,5.45,2.89,2.34,9.12,5.23,4.01,Artist
119,5.23,7.12,7.34,8.45,6.45,4.67,3.12,3.67,4.34,7.56,Human Resources Manager
120,4.56,6.78,5.67,3.23,2.89,8.12,8.67,4.01,7.45,3.45,Construction Engineer
121,8.78,7.34,5.23,6.45,6.01,4.67,3.56,4.01,4.45,9.12,Journalist
122,9.45,8.01,4.67,5.56,4.01,7.78,7.45,6.67,9.12,6.34,Astronomer
123,6.78,8.67,5.23,6.45,4.01,9.12,2.89,3.56,3.23,4.45,Financial Analyst
124,8.78,7.67,3.67,6.45,5.34,5.67,4.56,6.23,8.45,7.12,Biologist
125,6.67,6.01,8.45,8.23,4.34,3.78,3.45,6.78,4.56,7.45,Event Planner
126,6.12,7.01,8.67,7.89,5.34,4.23,3.67,4.01,4.45,7.45,Real Estate Agent
127,9.12,7.45,4.23,5.67,3.78,7.01,6.45,6.78,8.78,6.01,Environmental Scientist
128,8.45,7.89,5.67,7.12,6.45,5.12,3.45,4.23,4.56,9.34,Lawyer
129,6.34,8.12,2.89,6.78,4.78,7.45,3.23,3.56,4.23,7.01,IT Support Specialist
130,8.78,3.78,7.67,7.01,6.01,3.45,2.78,8.45,5.67,4.23,Fashion Designer
131,6.45,7.23,8.12,7.45,5.78,4.67,3.01,3.67,4.45,7.67,Marketing Coordinator
132,7.89,7.67,4.01,5.23,4.56,9.45,3.45,6.78,8.78,5.34,Biomedical Engineer
133,7.01,3.78,8.45,6.78,5.45,3.56,5.12,9.23,3.01,4.23,Event Photographer
134,6.67,8.23,5.12,6.01,4.45,9.12,3.34,3.78,4.23,7.45,Data Analyst
135,7.12,9.45,4.23,6.78,4.56,8.67,3.23,3.67,4.01,6.45,Pharmacist
136,7.56,7.01,4.67,9.23,6.34,3.45,2.89,4.45,3.12,6.67,Social Worker
137,5.67,8.78,6.67,6.34,4.34,9.23,3.01,3.78,3.45,4.01,Financial Planner
138,8.78,7.67,4.01,5.23,4.56,7.12,3.45,6.78,8.45,5.34,Biotechnologist
139,6.45,6.67,7.01,8.12,5.56,4.01,3.23,3.78,4.23,7.45,HR Recruiter
140,6.78,8.45,5.12,6.01,4.56,7.89,3.45,3.67,4.23,7.34,Software Quality Assurance Tester
141,6.45,7.67,5.34,9.23,4.45,3.78,2.89,3.01,3.56,8.12,Elementary School Teacher
142,6.01,7.34,4.01,5.23,4.67,8.78,8.23,6.78,7.45,5.45,Industrial Engineer
143,8.45,7.78,5.67,7.34,6.45,5.12,3.23,3.78,4.45,8.12,Market Research Analyst
144,6.78,8.67,4.45,6.01,4.78,8.34,3.23,3.67,4.12,7.23,Financial Auditor
145,9.34,4.45,8.45,6.45,7.12,3.23,3.01,6.67,6.01,5.23,Musician
146,5.67,8.78,7.12,6.45,6.01,4.56,3.67,4.23,5.34,8.45,Police Detective
147,8.45,6.45,7.01,7.56,5.67,3.78,2.89,3.12,3.45,8.12,Marketing Copywriter
148,8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Zoologist
149,7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Speech Therapist
150,6.78,7.23,3.89,5.12,4.67,8.89,8.45,6.12,7.78,5.45,Mechanical Engineer
151,8.78,7.67,4.01,5.12,4.67,7.23,6.78,6.12,8.45,5.45,Forensic Scientist
152,6.67,7.34,8.45,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Social Media Manager
153,9.12,7.45,4.01,5.23,4.67,7.01,6.45,6.78,8.78,5.45,Geologist
154,8.67,7.78,5.67,4.23,6.45,4.45,3.34,3.78,8.23,7.45,Web Developer
155,8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Wildlife Biologist
156,5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,Air Traffic Controller
157,9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,Game Developer
158,6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,Urban Planner
159,6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,Financial Advisor
160,4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,Airline Pilot
161,8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Engineer
162,8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,Interior Designer
163,7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Physical Therapist
164,6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,Mechanical Designer
165,7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,Dental Hygienist
166,6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,Marketing Analyst
167,7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,Aerospace Engineer
168,6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Pediatric Nurse
169,7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,Advertising Executive
170,8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Wildlife Conservationist
171,6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,IT Project Manager
172,7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,Forestry Technician
173,8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Video Game Tester
174,7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Marriage Counselor
175,8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Scientist
176,9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,Biomedical Researcher
177,6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,Database Administrator
178,6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Public Relations Specialist
179,7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Genetic Counselor
180,8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,Market Researcher
181,7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Occupational Therapist
182,7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,Electrical Engineer
183,7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,Investment Banker
184,8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Marine Biologist
185,7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,Human Rights Lawyer
186,6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Database Analyst
187,6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,Pediatrician
188,7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,Technical Writer
189,8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,Forensic Psychologist
190,8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,Product Manager
191,8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Fashion Stylist
192,6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Speech Pathologist
193,8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,Public Health Analyst
194,6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,Sports Coach
195,6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Insurance Underwriter
196,6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,Chiropractor
197,5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,Radiologic Technologist
198,7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,Tax Accountant
199,6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,Quality Control Inspector
200,6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Rehabilitation Counselor
201,8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,Film Director
202,7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Diplomat
203,2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Police Officer
204,7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,Administrative Officer
205,6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Tax Collector
206,7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Foreign Service Officer
207,2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Customs and Border Protection Officer
208,6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,Civil Engineer
209,7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,Robotics Engineer
210,7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,Electronics Design Engineer
