,Id,O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
91,10391985,7.16,3.56,5.03,5.57,5.77,8.65,3.29,3.79,5.89,4.49,Forestry Technician
92,15643053,6.77,7.33,4.76,5.92,4.88,5.55,6.38,4.74,3.82,7.83,Technical Writer
93,5801613,7.9,7.37,4.28,5.24,4.41,8.92,3.65,7.08,4.63,7.92,Pharmacist
94,3656749,7.72,6.93,6.18,7.04,5.78,5.35,3.44,5.87,3.01,6.21,Pediatric Nurse
95,3068922,5.94,7.68,5.84,6.96,5.97,9.12,6.51,9.11,7.95,3.79,Event Photographer
96,12668240,7.39,9.19,5.27,8.65,3.83,8.87,3.27,4.18,3.01,7.69,Software Developer
97,2511858,9.11,7.77,5.73,3.23,4.41,3.95,2.71,3.87,6.45,6.84,Psychologist
98,2161640,5.84,7.81,7.28,7.25,5.78,7.24,7.17,9.34,4.34,6.92,Interior Designer
99,15144393,6.52,7.54,4.26,7.69,3.27,8.42,3.7,3.45,3.99,9.34,Technical Writer
100,2270268,7.99,7.61,6.95,7.27,5.49,8.95,5.64,6.34,3.01,8.68,Pharmacist
101,201354,5.44,8.12,8.29,6.03,2.89,9.45,8.58,6.76,3.12,7.49,Police Detective
102,4525736,7.99,7.17,8.6,4.33,5.65,6.4,6.13,6.84,3.87,7.4,Environmental Scientist
103,8916483,6.42,8.36,6.29,3.23,4.73,9.45,3.68,8.98,8.81,4.09,Forensic Psychologist
104,14723725,8.56,9.38,4.73,3.77,5.58,3.18,2.34,4.24,7.06,3.61,Architect
105,15881654,5.88,7.19,5.84,7.94,5.78,9.45,3.75,9.34,3.65,5.68,IT Project Manager
106,15256349,8.93,8.15,5.06,9.34,4.11,7.68,7.45,4.08,3.01,4.83,Police Detective
107,14500949,6.64,6.86,5.39,4.98,4.17,9.45,2.38,4.18,3.55,9.01,Market Researcher
108,6778329,7.21,7.36,5.44,6.95,5.44,9.45,8.43,6.62,6.13,6.9,Pediatric Nurse
109,6351564,6.64,8.23,4.2,8.22,6.82,9.45,2.64,4.37,6.54,8.64,Social Media Manager
110,8760654,6.91,7.59,4.99,8.36,4.94,8.4,3.87,4.8,6.5,8.06,Architect
111,13655633,7.05,7.62,5.03,8.57,4.43,9.45,2.35,4.24,7.19,3.45,Astronomer
112,1204130,9.09,7.94,5.21,3.23,3.93,9.17,2.87,4.72,6.31,7.65,Interior Designer
113,12570335,8.78,7.13,5.9,8.18,5.12,5.3,4.04,6.65,7.61,5.72,Database Administrator
114,6364560,8.18,7.1,8.91,5.43,2.89,9.35,7.6,4.24,8.27,5.57,Wildlife Conservationist
115,5328994,6.68,9.35,7.22,6.05,6.31,6.58,5.48,7.86,6.5,6.68,Air Traffic Controller
116,6668044,8.49,6.53,6.45,4.95,5.63,8.24,3.65,3.7,3.35,6.82,Artist
117,7666153,6.76,6.89,5.74,8.08,4.37,8.37,6.66,7.68,7.39,8.76,Foreign Service Officer
118,15079119,8.05,7.35,5.49,5.11,5.95,9.45,9.23,4.36,3.44,8.5,Web Developer
119,8703356,7.11,8.0,5.37,4.43,3.84,7.66,3.42,6.15,6.58,4.21,Mechanical Engineer
120,7132187,5.92,8.03,5.46,6.36,5.39,5.76,3.09,5.0,4.05,9.02,Public Health Analyst
121,5749476,7.13,8.49,4.58,4.47,4.4,8.91,2.34,8.91,4.01,8.53,Social Media Manager
122,2135447,5.39,6.87,4.14,6.1,5.03,6.21,2.7,7.19,7.77,5.88,Musician
123,15864828,7.37,8.68,5.59,6.28,5.45,4.62,3.15,7.68,6.33,5.68,Research Scientist
124,4587070,5.58,3.56,5.9,4.58,5.05,9.45,4.02,9.34,8.06,8.95,Human Rights Lawyer
125,14389313,8.85,3.56,6.46,7.54,3.58,9.45,8.95,8.44,3.01,4.82,Data Analyst
126,8311756,6.43,7.24,6.46,8.26,5.28,8.56,9.23,9.34,6.77,5.52,Social Worker
127,5669624,6.12,7.64,8.96,3.23,5.22,8.42,6.43,3.36,5.54,3.99,Occupational Therapist
128,11628277,6.07,8.79,7.2,5.54,5.65,5.15,2.51,4.88,3.01,7.88,Marketing Manager
129,14348903,6.73,7.41,8.66,6.45,4.46,5.76,3.38,3.77,3.01,5.41,Environmental Scientist
130,5464775,6.01,8.25,4.57,6.14,6.12,5.72,3.59,8.22,4.39,7.54,Speech Therapist
131,11927965,5.47,5.97,5.88,9.05,4.97,3.95,2.65,7.43,3.01,8.84,Event Photographer
132,9513504,7.2,8.27,9.34,6.42,5.74,4.88,2.34,6.29,6.92,5.99,Database Administrator
133,14332163,5.93,7.77,8.58,5.06,3.73,9.45,3.16,6.16,3.01,9.1,Dental Hygienist
134,14318948,6.9,8.76,5.17,3.23,3.66,4.56,7.29,4.17,7.97,8.34,Marketing Copywriter
135,15640785,8.16,4.42,4.38,8.79,5.01,3.55,7.8,6.64,4.65,7.05,Wildlife Conservationist
136,1953688,4.92,6.81,9.34,9.34,7.45,9.32,9.23,6.99,3.1,7.69,Environmental Scientist
137,12285588,8.95,6.39,5.09,5.1,5.58,9.45,3.59,5.65,4.72,3.62,Elementary School Teacher
138,11949606,6.48,7.43,4.11,4.63,6.21,4.88,6.81,6.89,6.74,8.35,Tax Accountant
139,4507985,6.66,3.56,5.38,5.16,6.2,4.56,6.59,5.93,4.8,8.12,Fashion Stylist
140,848907,6.26,5.03,6.63,7.66,2.89,8.82,3.26,5.16,8.13,7.75,Financial Advisor
141,9468839,5.74,6.87,6.38,3.82,5.81,9.45,6.56,6.64,5.86,7.11,Urban Planner
142,3061593,5.92,6.78,7.82,7.34,4.54,7.52,4.12,7.07,3.64,7.04,Customs and Border Protection Officer
143,1873193,7.91,7.28,9.34,5.71,4.23,6.26,2.78,7.3,8.37,7.44,Product Manager
144,7881777,7.9,7.29,5.04,7.39,5.17,5.17,4.06,6.63,7.16,6.55,Human Resources Manager
145,7774590,5.44,3.56,5.27,6.02,4.2,5.74,6.05,3.8,7.16,6.01,Financial Advisor
146,31703,5.03,8.27,5.86,6.07,3.84,5.75,6.79,7.77,5.41,9.03,Dental Hygienist
147,13874704,6.83,7.33,5.45,6.59,5.85,4.98,2.35,8.51,3.01,3.5,Environmental Scientist
148,1551681,4.56,6.96,6.57,6.76,6.22,4.29,3.62,7.27,3.31,6.97,Forensic Scientist
149,8382048,7.57,7.61,5.12,8.37,5.84,3.39,5.52,9.07,3.01,5.76,Financial Analyst
150,1346910,7.99,7.2,4.69,4.86,2.89,5.37,2.34,6.71,5.81,9.34,Wildlife Conservationist
151,11428798,7.11,7.12,5.73,6.33,5.54,4.81,6.09,4.67,5.26,7.62,Human Rights Lawyer
152,8684428,7.1,6.54,5.85,5.88,3.61,4.66,8.56,6.4,6.26,5.51,Event Planner
153,6346856,6.29,7.28,8.6,6.62,5.65,5.43,5.63,3.91,7.27,6.46,Diplomat
154,1865060,6.76,3.56,5.65,4.45,4.32,3.93,2.64,7.02,6.23,9.22,Salesperson
155,2187513,6.65,7.15,6.0,5.8,2.89,9.45,3.45,9.34,3.01,6.0,IT Project Manager
156,13423227,6.85,7.18,6.21,5.4,4.98,6.3,6.58,6.46,4.61,9.34,Forensic Scientist
157,8852110,8.04,7.58,3.63,5.05,4.2,4.07,3.93,6.06,5.46,8.83,Market Researcher
158,7457902,5.52,7.37,5.06,4.74,5.12,8.61,2.34,5.55,7.36,3.62,Tax Accountant
159,11460208,2.67,7.85,5.86,7.59,3.74,9.22,3.82,3.43,3.15,5.65,Accountant
160,12931908,7.83,7.39,3.11,8.43,5.53,6.24,5.44,7.21,7.81,8.1,Advertising Executive
161,15917456,6.76,7.73,5.77,8.11,3.79,7.16,7.0,5.68,4.24,7.46,Human Resources Manager
162,1895148,8.34,7.9,5.59,7.44,2.89,8.73,3.28,6.97,3.21,9.16,Financial Auditor
163,5264578,8.48,6.94,3.81,8.13,5.74,9.45,9.23,3.98,3.01,5.96,Zoologist
164,10791379,5.32,7.03,5.77,8.56,4.19,7.54,3.05,6.24,3.01,3.95,Radiologic Technologist
165,7413774,5.86,8.49,5.47,6.0,2.89,9.45,3.01,4.67,5.9,8.81,Speech Therapist
166,15928421,6.37,7.76,9.34,7.37,4.71,3.18,8.65,9.34,3.82,4.42,Marketing Coordinator
167,15240238,6.93,8.55,3.39,5.83,3.71,5.84,5.55,3.87,4.33,7.12,Wildlife Biologist
168,13703453,5.64,7.91,5.86,4.39,3.58,5.29,3.09,8.43,7.71,4.77,Urban Planner
169,10179947,7.89,7.65,6.51,5.79,3.95,9.16,6.76,7.34,8.13,7.3,Financial Auditor
170,3880851,7.25,8.24,5.71,7.55,4.97,9.45,7.46,6.7,5.47,8.48,Journalist
171,10119445,5.47,7.25,5.49,8.16,5.07,8.34,3.47,7.17,7.88,6.46,Marketing Copywriter
172,11916488,6.22,8.41,2.89,6.56,5.61,8.74,3.47,9.21,4.52,7.59,Salesperson
173,14778474,7.1,7.86,5.64,5.68,5.59,4.5,2.66,9.18,7.86,5.95,Financial Analyst
174,1641014,5.55,7.13,4.69,5.38,4.41,9.45,3.85,7.5,3.67,4.68,Tax Collector
175,5907163,5.63,7.86,6.08,7.21,6.19,4.13,6.78,7.68,3.01,4.66,Fashion Stylist
176,1647244,6.6,6.62,6.09,7.49,3.7,7.51,3.64,4.02,4.09,6.49,IT Project Manager
177,6421633,7.08,8.19,4.97,6.07,6.54,8.23,4.03,3.01,3.01,5.84,Police Detective
178,4326632,8.47,7.29,5.46,7.78,6.63,5.89,3.78,7.53,3.23,7.61,Teacher
179,5909462,6.42,7.12,5.22,6.24,4.36,4.85,6.78,7.26,3.53,8.62,Database Administrator
180,15701508,2.67,6.86,6.66,4.57,4.92,7.96,2.76,8.9,3.78,8.0,Biomedical Engineer
181,15608059,7.73,6.95,4.74,8.32,4.17,8.98,4.2,6.37,6.41,8.92,Elementary School Teacher
182,4062748,8.05,7.67,9.02,7.35,5.05,6.33,2.72,6.12,6.16,4.66,Chiropractor
183,2303388,5.95,8.11,4.56,5.71,5.44,8.61,3.46,3.77,6.16,9.31,Tax Collector
184,1605831,3.03,7.85,6.18,4.73,4.28,8.69,2.71,9.34,3.41,7.42,Financial Advisor
185,5450447,7.41,6.55,6.67,6.55,4.79,8.09,4.8,6.91,6.0,4.67,Pediatric Nurse
186,6777127,7.09,7.97,5.4,6.02,6.04,8.84,6.89,6.8,3.01,8.15,Police Detective
187,15936011,7.02,8.5,8.5,9.05,5.63,8.75,2.36,3.49,3.01,8.49,Advertising Executive
188,820952,6.4,8.56,3.58,4.34,3.89,7.75,3.1,6.81,3.01,8.87,Geologist
189,3593976,2.67,7.53,9.34,9.34,4.75,6.08,7.08,4.26,3.01,8.22,Film Director
190,5401173,6.37,8.42,7.54,6.94,5.37,8.48,6.91,7.31,7.74,4.99,Genetic Counselor
191,13086767,7.61,7.21,5.11,5.84,5.5,8.83,3.11,4.5,3.01,4.72,Financial Auditor
192,1697113,6.74,7.59,5.95,6.61,5.53,9.45,4.72,7.66,4.84,6.35,Marketing Analyst
193,285570,6.06,7.68,7.87,6.52,6.28,5.28,2.34,6.88,3.01,6.28,Marketing Analyst
194,5394502,8.44,7.63,9.34,8.09,5.87,9.44,3.03,6.73,3.29,7.99,Police Officer
195,13014414,7.46,5.1,4.51,4.79,5.78,8.15,2.96,9.34,3.38,7.9,Police Detective
196,13206668,5.99,7.43,4.22,7.19,5.31,5.26,2.45,4.32,4.06,5.92,Software Quality Assurance Tester
197,11063338,5.18,7.26,5.55,5.24,2.89,3.8,6.76,5.11,4.22,7.7,Public Relations Specialist
198,11332915,7.99,7.29,6.08,3.58,5.39,6.09,3.51,5.11,7.52,4.75,Biomedical Researcher
199,8886995,7.84,8.34,5.96,5.51,6.32,7.47,3.05,6.6,5.36,4.94,Pharmacist
200,15210095,8.0,8.41,3.8,3.23,5.76,9.45,8.93,7.51,3.01,7.12,Tax Collector
201,13991806,6.77,8.88,8.71,7.89,4.21,9.07,2.34,3.44,3.01,5.42,Pediatric Nurse
202,13526787,7.41,7.64,4.83,8.09,4.54,8.54,3.0,7.04,3.01,7.96,Customs and Border Protection Officer
203,10188902,5.75,8.18,4.35,7.61,2.89,5.58,3.37,3.31,6.75,8.69,Video Game Tester
204,5520105,7.35,3.56,9.34,6.24,2.89,9.45,6.87,7.3,5.77,6.69,Investment Banker
205,3037093,7.48,7.62,9.12,4.3,6.32,5.43,4.63,7.17,6.19,6.3,Database Administrator
206,1820077,7.42,6.86,5.35,5.99,3.64,4.95,7.43,7.57,6.37,6.88,Urban Planner
207,157339,8.89,7.33,5.65,9.34,4.3,6.13,6.56,4.44,3.87,6.38,Speech Therapist
208,14490189,6.48,5.98,3.59,7.49,5.52,7.39,7.41,7.71,8.18,6.28,Aerospace Engineer
209,11277463,8.32,7.11,5.2,7.48,2.89,9.41,3.19,6.07,6.05,6.53,Financial Analyst
210,12739469,9.45,7.48,5.3,6.59,3.62,5.73,2.34,6.58,3.01,6.96,Biotechnologist
211,8907762,9.14,6.87,6.05,5.03,6.01,6.7,9.23,9.34,6.87,7.81,Tax Accountant
212,10038024,7.39,9.45,4.54,8.19,6.34,5.97,9.23,7.05,7.43,3.83,Occupational Therapist
213,16770010,7.97,7.48,9.34,8.13,3.94,8.21,7.57,4.3,3.01,5.72,Foreign Service Officer
214,6884489,6.19,7.98,4.79,5.67,5.88,9.45,8.19,3.24,3.8,9.34,Market Research Analyst
215,1651185,7.82,6.84,6.83,5.38,4.47,3.78,2.96,7.4,7.98,5.25,Psychologist
216,8825163,6.46,7.79,7.74,3.47,6.08,9.42,4.12,9.34,5.49,7.94,Architect
217,6874875,6.34,8.65,5.18,5.06,4.32,4.3,3.39,7.02,7.92,8.65,Real Estate Agent
218,15252752,6.02,5.89,3.6,6.04,4.97,7.62,5.06,3.14,3.01,7.77,Customs and Border Protection Officer
219,12526510,5.7,7.05,5.63,4.14,2.89,9.45,8.92,7.16,3.92,6.45,Psychologist
220,5864664,5.83,4.1,5.5,5.79,4.38,5.74,5.79,6.69,3.6,6.9,Data Analyst
221,11536433,7.41,7.65,5.01,5.3,5.39,4.74,3.31,8.03,3.17,8.33,Marketing Copywriter
222,13447679,7.3,3.56,7.63,5.64,5.78,4.6,3.0,7.68,4.35,6.85,Zoologist
223,13197997,5.73,7.99,8.35,7.45,5.48,8.02,8.03,5.22,7.41,5.85,Public Relations Specialist
224,14899794,6.14,8.13,6.05,8.17,4.12,5.37,2.36,5.59,3.84,8.42,Physician
225,8559994,6.55,6.48,5.23,4.51,5.4,4.56,3.17,9.12,3.75,4.4,Occupational Therapist
226,7461537,2.67,7.37,3.42,5.27,4.12,3.89,3.35,6.99,3.68,8.02,Game Developer
227,15712143,7.17,7.69,6.05,8.14,4.5,9.45,2.8,7.25,4.31,5.61,Speech Therapist
228,1147136,6.81,9.14,8.34,7.28,5.34,9.45,3.22,3.75,4.03,5.27,Radiologic Technologist
229,13244151,8.07,7.28,5.7,4.96,5.61,5.95,2.92,4.68,4.21,4.56,Robotics Engineer
230,7760391,6.09,7.71,3.59,6.24,5.5,5.21,2.37,9.34,3.01,7.72,Foreign Service Officer
231,377792,6.95,7.28,4.88,5.91,6.6,9.24,8.57,4.44,3.01,6.97,Technical Writer
232,12457768,5.76,3.56,9.0,4.37,3.94,5.39,3.22,4.3,3.01,7.46,Environmental Engineer
233,14029445,2.67,9.14,4.09,5.61,4.65,8.37,2.34,4.71,4.9,4.5,Forensic Scientist
234,2791015,6.37,6.6,4.7,7.59,5.12,4.53,3.23,7.43,3.01,9.34,Artist
235,6029556,4.59,7.26,4.36,5.45,2.93,9.45,8.87,7.35,6.27,6.56,Game Developer
236,1649423,5.81,7.74,5.97,9.12,2.89,8.89,7.77,6.55,6.83,6.78,Physical Therapist
237,1770060,8.72,6.74,6.86,6.04,5.53,9.4,2.9,4.7,4.94,6.69,Elementary School Teacher
238,9193468,5.94,8.87,5.02,5.05,4.14,9.45,2.75,6.95,8.92,6.31,Event Planner
239,13980281,8.55,6.26,5.12,6.76,3.95,9.45,3.8,4.41,6.37,8.95,Zoologist
240,1165242,5.75,6.81,9.34,3.53,4.08,9.09,2.84,4.05,3.51,4.65,HR Recruiter
241,5478008,9.45,7.71,5.61,5.13,4.34,7.24,8.4,3.39,3.24,5.01,Product Manager
242,12838734,5.91,3.56,3.29,6.49,3.97,9.4,4.25,9.34,3.77,3.45,Speech Pathologist
243,7870098,8.94,5.83,3.83,5.82,3.57,5.73,3.48,4.78,4.46,5.84,Architect
244,10779359,5.15,6.97,9.34,5.71,5.8,9.43,4.04,7.58,6.9,6.96,HR Recruiter
245,13789993,5.93,7.06,5.41,4.03,6.34,5.68,2.41,9.34,6.86,9.29,Market Researcher
246,3697522,7.77,8.14,6.05,7.26,4.06,9.45,3.53,4.94,3.99,6.8,Architect
247,13371741,9.21,8.1,5.42,7.97,7.73,7.29,2.98,4.19,3.01,6.25,Salesperson
248,9421469,7.46,3.56,2.89,6.61,6.43,5.73,3.17,7.64,6.5,4.14,Video Game Tester
249,13644915,6.76,7.84,7.13,9.34,4.36,9.33,3.53,6.51,4.95,8.75,Human Rights Lawyer
250,8575678,8.09,7.3,7.45,6.39,4.06,9.45,4.37,7.38,7.49,6.86,Marriage Counselor
251,1700339,5.32,8.38,7.55,3.7,5.65,4.91,2.77,6.7,7.9,4.88,Urban Planner
252,1789047,5.86,7.91,5.43,5.56,5.5,9.45,3.6,9.34,7.82,6.66,Investment Banker
253,9919268,6.97,3.56,5.76,6.36,4.24,5.41,8.97,4.05,5.2,4.79,Air Traffic Controller
254,13286650,5.37,7.81,5.64,9.34,4.72,5.01,4.97,4.86,3.01,8.62,Quality Control Inspector
255,8349295,8.83,7.27,5.83,7.98,4.88,4.54,2.48,3.99,6.48,5.78,Human Rights Lawyer
256,6539440,5.38,8.43,9.07,4.61,4.02,9.32,2.76,8.54,5.86,5.28,Construction Engineer
