Sr.No.,Course,Job profession,Student,Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,,,,,,,,,
,,Veterinarian,S152,12,5,14,14,9,20,19,18,,,,,,,,,
,,Veterinarian,S153,14,9,13,12,8,18,19,18,,,,,,,,,
,,Veterinarian,S154,13,8,11,13,7,19,19,18,,,,,,,,,
,,Veterinarian,S155,11,7,12,11,6,16,19,18,,,,,,,,,
,,Veterinarian,S156,12,6,14,12,8,15,19,18,,,,,,,,,
,,Veterinarian,S157,11,8,13,14,7,17,19,18,,,,,,,,,
,,Veterinarian,S158,11,7,11,12,6,20,19,18,,,,,,,,,
,,Veterinarian,S159,12,6,12,13,9,18,19,18,,,,,,,,,
,,Veterinarian,S160,14,9,11,11,6,19,19,18,,,,,,,,,
,,Veterinarian,S161,13,5,14,12,9,16,19,18,,,,,,,,,
,,Veterinarian,S162,11,5,13,14,8,15,19,18,,,,,,,,,
,,Veterinarian,S163,12,9,11,12,7,17,18,18,,,,,,,,,
,,Veterinarian,S164,11,8,12,13,6,20,18,18,,,,,,,,,
,,Veterinarian,S165,11,7,14,11,8,18,18,18,,,,,,,,,
,,Veterinarian,S166,12,6,13,12,7,19,18,18,,,,,,,,,
,,Veterinarian,S167,14,8,11,14,6,16,18,18,,,,,,,,,
,,Veterinarian,S168,13,7,12,12,9,15,18,17,,,,,,,,,
,,Veterinarian,S169,11,6,11,14,7,17,18,17,,,,,,,,,
,,Veterinarian,S170,12,9,11,12,9,20,18,17,,,,,,,,,
,,Veterinarian,S171,11,6,11,13,8,18,18,17,,,,,,,,,
,,Veterinarian,S172,11,9,14,11,7,19,18,17,,,,,,,,,
,,Veterinarian,S173,12,8,13,12,6,16,18,17,,,,,,,,,
,,Veterinarian,S174,14,7,11,14,8,15,18,17,,,,,,,,,
,,Veterinarian,S175,13,6,12,12,7,17,18,17,,,,,,,,,
,,Veterinarian,S176,11,8,14,13,6,20,18,17,,,,,,,,,
,,Veterinarian,S177,12,7,13,11,9,18,18,17,,,,,,,,,
,,Veterinarian,S178,11,6,11,12,7,19,18,17,,,,,,,,,
,,Veterinarian,S179,11,9,12,14,9,16,18,17,,,,,,,,,
,,Veterinarian,S180,12,7,11,12,8,15,18,17,,,,,,,,,
,,Veterinarian,S181,14,9,11,13,7,17,18,17,,,,,,,,,
,,Veterinarian,S182,13,8,14,11,6,20,18,17,,,,,,,,,
,,Veterinarian,S183,11,7,13,12,8,18,18,17,,,,,,,,,
,,Veterinarian,S184,12,6,11,14,7,19,18,17,,,,,,,,,
,,Veterinarian,S185,11,8,12,12,6,16,18,17,,,,,,,,,
,,Veterinarian,S186,11,7,14,14,9,15,18,17,,,,,,,,,
,,Veterinarian,S187,12,6,13,12,9,17,18,17,,,,,,,,,
,,Veterinarian,S188,14,9,11,13,9,20,17,17,,,,,,,,,
,,Veterinarian,S189,13,7,12,11,8,18,17,17,,,,,,,,,
,,Veterinarian,S190,11,7,14,12,7,19,17,19,,,,,,,,,
,,Veterinarian,S191,12,7,14,14,6,16,17,19,,,,,,,,,
,,Veterinarian,S192,11,9,11,12,8,15,17,19,,,,,,,,,
,,Veterinarian,S193,11,8,14,13,7,17,17,19,,,,,,,,,
,,Veterinarian,S194,12,7,13,11,9,20,17,19,,,,,,,,,
,,Veterinarian,S195,14,6,11,12,8,18,17,19,,,,,,,,,
,,Veterinarian,S196,13,8,12,14,7,19,17,19,,,,,,,,,
,,Veterinarian,S197,11,7,14,12,6,16,17,19,,,,,,,,,
,,Veterinarian,S198,12,6,13,13,8,15,17,19,,,,,,,,,
,,Veterinarian,S199,11,9,11,11,7,18,17,19,,,,,,,,,
,,Veterinarian,S200,13,10,12,12,6,15,17,19,,,,,,,,,
5,,Nature photographer,S201,11,5,17,10,6,12,17,20,,,,,,,,,
,,Nature photographer,S202,12,5,20,10,6,12,17,18,,,,,,,,,
,,Nature photographer,S203,13,6,18,10,6,12,17,20,,,,,,,,,
,,Nature photographer,S204,14,6,19,10,6,12,17,15,,,,,,,,,
,,Nature photographer,S205,13,7,16,10,6,12,17,20,,,,,,,,,
,,Nature photographer,S206,12,7,15,10,6,12,17,16,,,,,,,,,
,,Nature photographer,S207,11,8,17,10,6,12,17,19,,,,,,,,,
,,Nature photographer,S208,11,8,20,10,6,12,17,18,,,,,,,,,
,,Nature photographer,S209,12,9,18,10,6,12,17,20,,,,,,,,,
,,Nature photographer,S210,13,9,19,10,6,12,17,19,,,,,,,,,
,,Nature photographer,S211,14,5,16,10,6,12,17,18,,,,,,,,,
,,Nature photographer,S212,13,5,15,10,6,12,17,17,,,,,,,,,
,,Nature photographer,S213,12,6,17,10,6,11,17,20,,,,,,,,,
,,Nature photographer,S214,11,6,20,10,6,11,17,18,,,,,,,,,
,,Nature photographer,S215,11,7,18,8,6,11,17,20,,,,,,,,,
,,Nature photographer,S216,12,7,19,8,6,11,17,15,,,,,,,,,
,,Nature photographer,S217,13,8,16,8,6,11,17,20,,,,,,,,,
,,Nature photographer,S218,14,8,15,8,5,11,17,16,,,,,,,,,
,,Nature photographer,S219,13,9,17,8,5,11,17,19,,,,,,,,,
,,Nature photographer,S220,12,9,20,8,5,11,19,18,,,,,,,,,
,,Nature photographer,S221,11,7,18,8,5,11,19,20,,,,,,,,,
,,Nature photographer,S222,11,5,19,8,5,11,19,19,,,,,,,,,
,,Nature photographer,S223,12,5,16,8,5,11,19,18,,,,,,,,,
,,Nature photographer,S224,13,6,15,6,5,11,19,17,,,,,,,,,
,,Nature photographer,S225,14,6,17,6,5,11,19,18,,,,,,,,,
,,Nature photographer,S226,13,7,20,6,5,11,19,20,,,,,,,,,
,,Nature photographer,S227,12,7,18,6,5,11,19,15,,,,,,,,,
,,Nature photographer,S228,11,8,19,6,5,13,19,20,,,,,,,,,
,,Nature photographer,S229,14,8,16,6,5,13,19,16,,,,,,,,,
,,Nature photographer,S230,12,9,15,6,5,13,19,19,,,,,,,,,
,,Nature photographer,S231,13,9,17,6,5,13,19,18,,,,,,,,,
,,Nature photographer,S232,14,8,20,6,5,13,19,20,,,,,,,,,
,,Nature photographer,S233,13,5,18,6,5,13,19,19,,,,,,,,,
,,Nature photographer,S234,12,5,19,6,5,13,19,18,,,,,,,,,
,,Nature photographer,S235,11,6,16,6,5,13,19,17,,,,,,,,,
,,Nature photographer,S236,11,6,15,6,8,13,19,18,,,,,,,,,
,,Nature photographer,S237,12,7,17,6,8,13,19,20,,,,,,,,,
,,Nature photographer,S238,13,7,17,6,8,13,19,15,,,,,,,,,
,,Nature photographer,S239,14,8,20,6,8,13,19,20,,,,,,,,,
,,Nature photographer,S240,13,8,18,6,8,13,18,16,,,,,,,,,
,,Nature photographer,S241,12,9,19,6,8,13,18,19,,,,,,,,,
,,Nature photographer,S242,11,5,16,7,8,14,18,18,,,,,,,,,
,,Nature photographer,S243,11,5,15,7,8,14,18,20,,,,,,,,,
,,Nature photographer,S244,12,6,17,7,8,14,18,19,,,,,,,,,
,,Nature photographer,S245,13,6,20,7,8,14,18,18,,,,,,,,,
,,Nature photographer,S246,14,7,18,7,8,14,18,17,,,,,,,,,
,,Nature photographer,S247,13,7,19,7,8,14,18,16,,,,,,,,,
,,Nature photographer,S248,12,8,16,7,8,14,18,15,,,,,,,,,
,,Nature photographer,S249,11,8,15,7,8,14,18,17,,,,,,,,,
,,Nature photographer,S250,14,9,18,7,8,14,18,18,,,,,,,,,
6,,Recording engineer,S251,13,20,5,16,5,17,12,7,,,,,,,,,
,,Recording engineer,S252,12,17,6,16,6,17,12,5,,,,,,,,,
,,Recording engineer,S253,11,17,7,16,7,17,12,6,,,,,,,,,
,,Recording engineer,S254,11,18,8,16,8,17,12,7,,,,,,,,,
,,Recording engineer,S255,12,17,9,16,9,17,12,8,,,,,,,,,
,,Recording engineer,S256,13,17,10,16,6,17,12,9,,,,,,,,,
,,Recording engineer,S257,13,16,5,16,5,17,12,5,,,,,,,,,
,,Recording engineer,S258,12,15,5,16,6,17,12,6,,,,,,,,,
,,Recording engineer,S259,11,19,5,16,7,17,12,7,,,,,,,,,
,,Recording engineer,S260,11,20,6,16,8,17,12,8,,,,,,,,,
,,Recording engineer,S261,12,17,7,16,9,17,12,9,,,,,,,,,
,,Recording engineer,S262,13,17,8,17,5,18,13,8,,,,,,,,,
,,Recording engineer,S263,13,18,9,17,6,18,14,8,,,,,,,,,
,,Recording engineer,S264,12,17,7,17,7,18,11,8,,,,,,,,,
,,Recording engineer,S265,11,16,8,17,8,18,12,8,,,,,,,,,
,,Recording engineer,S266,11,20,9,17,9,18,13,8,,,,,,,,,
,,Recording engineer,S267,12,17,10,17,5,18,11,8,,,,,,,,,
,,Recording engineer,S268,13,17,9,17,6,18,12,8,,,,,,,,,
,,Recording engineer,S269,13,18,8,17,7,18,13,8,,,,,,,,,
,,Recording engineer,S270,12,17,5,17,8,18,12,8,,,,,,,,,
,,Recording engineer,S271,11,17,6,17,9,18,14,8,,,,,,,,,
,,Recording engineer,S272,11,16,7,17,5,18,13,8,,,,,,,,,
,,Recording engineer,S273,12,15,5,18,6,19,11,6,,,,,,,,,
,,Recording engineer,S274,13,19,6,18,7,19,14,6,,,,,,,,,
,,Recording engineer,S275,13,20,7,18,8,19,14,6,,,,,,,,,
,,Recording engineer,S276,12,17,8,18,9,19,14,6,,,,,,,,,
,,Recording engineer,S277,11,17,9,18,5,19,14,6,,,,,,,,,
,,Recording engineer,S278,11,18,10,18,6,19,14,6,,,,,,,,,
,,Recording engineer,S279,12,17,5,18,7,19,14,6,,,,,,,,,
,,Recording engineer,S280,13,20,6,18,8,19,14,6,,,,,,,,,
,,Recording engineer,S281,13,17,7,18,9,19,12,6,,,,,,,,,
,,Recording engineer,S282,12,17,8,18,8,19,14,6,,,,,,,,,
,,Recording engineer,S283,11,18,9,18,5,19,13,6,,,,,,,,,
,,Recording engineer,S284,11,17,10,18,6,19,11,5,,,,,,,,,
,,Recording engineer,S285,12,17,7,19,7,20,12,6,,,,,,,,,
,,Recording engineer,S286,13,16,8,19,8,20,12,7,,,,,,,,,
,,Recording engineer,S287,13,15,9,19,9,20,12,8,,,,,,,,,
,,Recording engineer,S288,12,19,10,18,8,20,12,9,,,,,,,,,
,,Recording engineer,S289,11,20,5,17,9,20,14,5,,,,,,,,,
,,Recording engineer,S290,11,17,6,17,5,20,13,6,,,,,,,,,
,,Recording engineer,S291,12,17,7,16,6,20,11,7,,,,,,,,,
,,Recording engineer,S292,13,18,8,15,7,20,12,8,,,,,,,,,
,,Recording engineer,S293,14,17,9,19,8,20,14,9,,,,,,,,,
,,Recording engineer,S294,13,17,10,20,9,20,13,7,,,,,,,,,
,,Recording engineer,S295,11,17,10,17,8,19,11,8,,,,,,,,,
,,Recording engineer,S296,12,17,10,17,9,15,12,9,,,,,,,,,
,,Recording engineer,S297,14,18,10,18,10,16,14,10,,,,,,,,,
,,Recording engineer,S298,13,20,10,17,5,17,13,8,,,,,,,,,
,,Recording engineer,S299,11,17,10,15,6,18,11,9,,,,,,,,,
,,Recording engineer,S300,11,18,10,17,7,19,13,10,,,,,,,,,
7,,Audiologist,S301,17,14,6,16,9,16,11,11,,,,,,,,,
,,Audiologist,S302,16,11,6,17,9,15,12,12,,,,,,,,,
,,Audiologist,S303,15,12,6,18,9,19,13,13,,,,,,,,,
,,Audiologist,S304,19,13,6,19,9,20,14,14,,,,,,,,,
,,Audiologist,S305,20,14,6,20,9,17,11,11,,,,,,,,,
,,Audiologist,S306,17,11,6,15,9,16,12,12,,,,,,,,,
,,Audiologist,S307,17,12,6,16,9,15,13,13,,,,,,,,,
,,Audiologist,S308,16,13,6,17,9,19,14,14,,,,,,,,,
,,Audiologist,S309,15,12,6,18,9,20,11,11,,,,,,,,,
,,Audiologist,S310,19,14,6,19,9,17,12,12,,,,,,,,,
,,Audiologist,S311,20,11,6,20,9,16,13,13,,,,,,,,,
,,Audiologist,S312,17,12,6,15,9,15,14,14,,,,,,,,,
,,Audiologist,S313,17,13,6,16,9,19,11,11,,,,,,,,,
,,Audiologist,S314,16,14,6,17,9,20,12,12,,,,,,,,,
,,Audiologist,S315,15,11,6,18,9,17,13,13,,,,,,,,,
,,Audiologist,S316,19,12,6,19,9,16,14,14,,,,,,,,,
,,Audiologist,S317,20,13,6,20,9,15,11,11,,,,,,,,,
,,Audiologist,S318,17,12,6,15,9,19,12,12,,,,,,,,,
,,Audiologist,S319,16,14,6,16,9,20,13,13,,,,,,,,,
,,Audiologist,S320,17,11,6,17,9,16,14,14,,,,,,,,,
,,Audiologist,S321,16,12,6,18,9,15,11,11,,,,,,,,,
,,Audiologist,S322,15,13,6,19,9,19,12,12,,,,,,,,,
,,Audiologist,S323,19,14,6,20,9,20,13,13,,,,,,,,,
,,Audiologist,S324,20,11,6,15,9,17,14,14,,,,,,,,,
,,Audiologist,S325,17,12,6,16,9,17,11,11,,,,,,,,,
,,Audiologist,S326,17,13,7,17,9,17,12,12,,,,,,,,,
,,Audiologist,S327,17,12,8,18,9,17,13,13,,,,,,,,,
,,Audiologist,S328,16,14,9,19,9,17,14,14,,,,,,,,,
,,Audiologist,S329,15,11,10,20,9,17,11,13,,,,,,,,,
,,Audiologist,S330,19,12,8,20,9,20,12,11,,,,,,,,,
,,Audiologist,S331,20,13,8,20,5,20,12,11,,,,,,,,,
,,Audiologist,S332,17,14,8,20,6,20,12,11,,,,,,,,,
,,Audiologist,S333,17,11,8,20,7,20,12,11,,,,,,,,,
,,Audiologist,S334,16,12,8,20,8,20,12,11,,,,,,,,,
,,Audiologist,S335,15,13,8,20,9,20,12,11,,,,,,,,,
,,Audiologist,S336,19,12,8,20,10,20,12,11,,,,,,,,,
,,Audiologist,S337,20,14,5,20,9,20,12,11,,,,,,,,,
,,Audiologist,S338,17,11,6,20,9,20,12,11,,,,,,,,,
,,Audiologist,S339,18,12,7,20,9,20,12,11,,,,,,,,,
,,Audiologist,S340,17,13,8,20,9,20,12,11,,,,,,,,,
,,Audiologist,S341,16,14,9,20,9,20,12,11,,,,,,,,,
,,Audiologist,S342,15,11,10,20,9,20,12,11,,,,,,,,,
,,Audiologist,S343,19,12,8,20,5,20,12,11,,,,,,,,,
,,Audiologist,S344,20,13,8,20,6,20,12,11,,,,,,,,,
,,Audiologist,S345,17,12,8,20,7,20,12,11,,,,,,,,,
,,Audiologist,S346,17,14,8,20,8,20,12,11,,,,,,,,,
,,Audiologist,S347,16,11,8,20,9,20,12,11,,,,,,,,,
,,Audiologist,S348,15,12,8,20,10,20,12,11,,,,,,,,,
,,Audiologist,S349,19,13,7,20,9,20,12,11,,,,,,,,,
,,Audiologist,S350,20,14,6,20,9,20,12,11,,,,,,,,,
8,,Sound editor,S351,11,20,5,15,7,12,13,18,,,,,,,,,
,,Sound editor,S352,12,15,6,16,5,13,13,19,,,,,,,,,
,,Sound editor,S353,13,15,8,17,6,14,13,20,,,,,,,,,
,,Sound editor,S354,14,17,9,18,8,12,13,17,,,,,,,,,
,,Sound editor,S355,12,19,10,19,9,13,13,18,,,,,,,,,
,,Sound editor,S356,13,20,9,16,10,14,13,18,,,,,,,,,
,,Sound editor,S357,11,15,8,15,9,12,13,19,,,,,,,,,
,,Sound editor,S358,12,15,7,16,8,13,13,20,,,,,,,,,
,,Sound editor,S359,13,15,5,17,7,14,13,17,,,,,,,,,
,,Sound editor,S360,14,15,6,18,5,12,13,18,,,,,,,,,
,,Sound editor,S361,12,15,5,19,6,13,13,18,,,,,,,,,
,,Sound editor,S362,13,15,6,20,5,12,13,19,,,,,,,,,
,,Sound editor,S363,11,15,8,16,6,13,13,20,,,,,,,,,
,,Sound editor,S364,12,16,9,16,8,14,13,17,,,,,,,,,
,,Sound editor,S365,13,17,10,16,9,12,13,18,,,,,,,,,
,,Sound editor,S366,14,18,9,16,10,13,13,18,,,,,,,,,
,,Sound editor,S367,12,19,8,16,9,12,13,19,,,,,,,,,
,,Sound editor,S368,13,20,7,16,8,13,13,20,,,,,,,,,
,,Sound editor,S369,11,15,5,15,7,14,13,17,,,,,,,,,
,,Sound editor,S370,12,15,6,16,5,12,13,18,,,,,,,,,
,,Sound editor,S371,13,15,5,17,6,13,13,18,,,,,,,,,
,,Sound editor,S372,14,15,6,18,5,12,13,19,,,,,,,,,
